episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,backward,timeout,10.0
1,0.2,backward,timeout,10.0
2,0.2,backward,timeout,10.0
3,0.2,backward,timeout,10.0
4,0.2,backward,timeout,10.0
5,0.4,backward,timeout,10.0
6,0.4,backward,timeout,10.0
7,0.4,backward,timeout,10.0
8,0.4,backward,timeout,10.0
9,0.4,backward,timeout,10.0
10,0.6,backward,timeout,10.0
11,0.6,backward,timeout,10.0
12,0.6,backward,timeout,10.0
13,0.6,backward,timeout,10.0
14,0.6,backward,timeout,10.0
15,0.8,backward,timeout,10.0
16,0.8,backward,timeout,10.0
17,0.8,backward,timeout,10.0
18,0.8,backward,timeout,10.0
19,0.8,backward,timeout,10.0
20,1.0,backward,timeout,10.0
21,1.0,backward,timeout,10.0
22,1.0,backward,timeout,10.0
23,1.0,backward,timeout,10.0
24,1.0,backward,timeout,10.0
25,1.2,backward,timeout,10.0
26,1.2,backward,timeout,10.0
27,1.2,backward,timeout,10.0
28,1.2,backward,timeout,10.0
29,1.2,backward,timeout,10.0
30,1.4,backward,timeout,10.0
31,1.4,backward,timeout,10.0
32,1.4,backward,timeout,10.0
33,1.4,backward,timeout,10.0
34,1.4,backward,timeout,10.0
35,1.6,backward,timeout,10.0
36,1.6,backward,timeout,10.0
37,1.6,backward,timeout,10.0
38,1.6,backward,timeout,10.0
39,1.6,backward,timeout,10.0
40,1.8,backward,timeout,10.0
41,1.8,backward,timeout,10.0
42,1.8,backward,timeout,10.0
43,1.8,backward,timeout,10.0
44,1.8,backward,timeout,10.0
45,2.0,backward,timeout,10.0
46,2.0,backward,fall,6.846
47,2.0,backward,timeout,10.0
48,2.0,backward,timeout,10.0
49,2.0,backward,fall,6.156
50,2.2,backward,timeout,10.0
51,2.2,backward,fall,5.42
52,2.2,backward,fall,9.772
53,2.2,backward,fall,1.466
54,2.2,backward,timeout,10.0
55,2.4,backward,fall,4.724
56,2.4,backward,fall,5.58
57,2.4,backward,fall,1.726
58,2.4,backward,fall,0.802
59,2.4,backward,fall,0.88
60,2.6,backward,timeout,10.0
61,2.6,backward,fall,4.968
62,2.6,backward,fall,5.912
63,2.6,backward,fall,4.45
64,2.6,backward,fall,4.14
65,2.8,backward,fall,4.744
66,2.8,backward,fall,1.24
67,2.8,backward,fall,0.746
68,2.8,backward,fall,3.994
69,2.8,backward,fall,4.588
70,3.0,backward,fall,0.946
71,3.0,backward,fall,0.826
72,3.0,backward,fall,3.968
73,3.0,backward,fall,1.686
74,3.0,backward,fall,1.024
